コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","10003801","HIROBO  0412-208  SD-G ミキシングアーム","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003802","HIROBO  0412-209  SD-G スタビコントロールアーム","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003803","HIROBO  0412-210  SD-G ヨーク","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003804","クレオス　Ｍｒ．カラー　０６２　つや消しホワイト","塗料・工具\塗料\クレオス\Ｍｒ．カラー","62","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003805","HIROBO  0412-212  FZ-4 シーソー","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003806","クレオス　Ｍｒ．カラー　０６３　ピンク","塗料・工具\塗料\クレオス\Ｍｒ．カラー","63","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003807","HIROBO  0412-214  FZ-4  スタビコントロールアーム","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003808","HIROBO  0412-215  SD メインギヤ　87T","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003809","クレオス　Ｍｒ．カラー　０６４　ルマングリーン","塗料・工具\塗料\クレオス\Ｍｒ．カラー","64","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003810","HIROBO  0412-216  SD セカンドギヤ　80T","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003811","クレオス　Ｍｒ．カラー　０６５　インディブルー","塗料・工具\塗料\クレオス\Ｍｒ．カラー","65","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003812","クレオス　Ｍｒ．カラー　０６６　デイトナグリーン","塗料・工具\塗料\クレオス\Ｍｒ．カラー","66","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003813","クレオス　Ｍｒ．カラー　０６７　パープル","塗料・工具\塗料\クレオス\Ｍｒ．カラー","67","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003814","クレオス　Ｍｒ．カラー　０６８　モンザレッド","塗料・工具\塗料\クレオス\Ｍｒ．カラー","68","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003815","クレオス　Ｍｒ．カラー　０６９　グランプリホワイト","塗料・工具\塗料\クレオス\Ｍｒ．カラー","69","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003816","HIROBO  0412-218  SD メインフレームセット","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003817","HIROBO  0412-321  SDX サーボマウント","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003818","クレオス　Ｍｒ．カラー　０７０　ダークグリーン","塗料・工具\塗料\クレオス\Ｍｒ．カラー","70","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003819","HIROBO  0412-220  SD HPM PP レバーセット","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003820","HIROBO  0412-221  SD  Tガタピッチレバーセット","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003821","HIROBO  0412-225  SD SWM リンケージセット（フレーム用）","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003822","クレオス　Ｍｒ．カラー　０７１　ミッドナイトブルー 光沢","塗料・工具\塗料\クレオス\Ｍｒ．カラー","71","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003823","HIROBO  0412-230  SD HPM PP パーツセット","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003824","クレオス　Ｍｒ．カラー　０７２　ミディアムブルー","塗料・工具\塗料\クレオス\Ｍｒ．カラー","72","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003825","HIROBO  0412-234  SD-G センターハブ","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003826","HIROBO  0412-235  SD-G ピッチアーム","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003827","クレオス　Ｍｒ．カラー　０７３　エアクラフトグレー","塗料・工具\塗料\クレオス\Ｍｒ．カラー","73","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
"","10003828","HIROBO  0412-236  SD テールユニットケース","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003829","HIROBO  0412-239  燃料タンクキャップ　シャトル用","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003830","HIROBO  0412-249  フローティングゴム φ22 セット","ヘリコプター\エンジンヘリパーツ\HIROBO シャトルスカディ・スカディEvo パーツ","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000317/",""
"","10003831","クレオス　Ｍｒ．カラー　０７４　エアースペリオリティブルー","塗料・工具\塗料\クレオス\Ｍｒ．カラー","74","http://item.rakuten.co.jp/sportshobby/c/0000000396/",""
